"time","open","high","low","close","volume","volumeq"
"2020-09-17 14:00:00+00",10803.95,10822,10745.83,10819.91,3801.36,40996548
"2020-09-17 13:00:00+00",10877.65,10885.47,10800.01,10803.95,2351.71,2.548828E+7
"2020-09-17 12:00:00+00",10826.54,10884.61,10798.06,10877.65,2733.8,29642792
"2020-09-17 11:00:00+00",10877.37,10883.97,10781,10826.54,3789.37,41013888
"2020-09-17 10:00:00+00",10865.72,10895.82,10855.65,10877.37,1934.12,2.103129E+7
"2020-09-17 09:00:00+00",10882.39,10905,10860,10865.72,1906.33,20748736
"2020-09-17 08:00:00+00",10865.41,10897.26,10842.77,10882.39,2619.68,2.847969E+7
"2020-09-17 07:00:00+00",10914.72,10928.83,10850.81,10865.41,2363.69,2.571552E+7
"2020-09-17 06:00:00+00",10909.43,10929.99,10888.09,10914.72,1506.59,1.644062E+7
"2020-09-17 05:00:00+00",10872.09,10915.62,10850,10909.43,1802.74,1.963044E+7
"2020-09-17 04:00:00+00",10926.87,10939.25,10869,10872.09,2669.06,29092204
"2020-09-17 03:00:00+00",10958.42,10960.09,10905.86,10926.87,2589.37,28294578
"2020-09-17 02:00:00+00",10993.67,11034,10950.04,10958.42,2303.62,25344652
"2020-09-17 01:00:00+00",10954.01,11045.46,10923.24,10993.67,3021.89,33193096
"2020-09-17 00:00:00+00",11020.82,11032.35,10941.35,10954.01,1647.6,18083784
"2020-09-16 23:00:00+00",11015.09,11039.7,10987.36,11020.82,1180.97,13009483
"2020-09-16 22:00:00+00",10994.68,11028.91,10976.39,11015.09,1327.93,1.460178E+7
"2020-09-16 21:00:00+00",10982.2,11047.84,10970.4,10994.68,2225.73,24503888
"2020-09-16 20:00:00+00",11010.29,11028.28,10966.18,10982.2,2459.14,27027828
"2020-09-16 19:00:00+00",11040.8,11083.99,10960.03,11010.29,4680.45,5.16443E+7
"2020-09-16 18:00:00+00",11059.57,11072.2,10994.39,11040.8,2569.58,28338372
"2020-09-16 17:00:00+00",11004.99,11093,10981.3,11059.57,5028.42,55489428
"2020-09-16 16:00:00+00",10888.97,11016.69,10881.77,11004.99,5206.45,57088288
"2020-09-16 15:00:00+00",10923,10941.18,10860.43,10888.97,2487.18,2.709516E+7
"2020-09-16 14:00:00+00",10925.23,10952,10885,10923,3217.11,35148304
"2020-09-16 13:00:00+00",10898.99,10955,10860,10925.23,3946.53,43054584
